"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!White","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Black or African American","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!American Indian and Alaska Native","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Asian","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Native Hawaiian and Other Pacific Islander","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Some other race","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!Two or more races","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!Hispanic or Latino origin (of any race)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!White alone, not Hispanic or Latino","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","FAMILIES","FAMILIES!!Families","FAMILIES!!Families!!With own children of householder under 18 years","FAMILIES!!Families!!With no own children of householder under 18 years","FAMILIES!!Families!!Married-couple families","FAMILIES!!Families!!Married-couple families!!With own children under 18 years","FAMILIES!!Families!!Female householder, no spouse present","FAMILIES!!Families!!Female householder, no spouse present!!With own children under 18 years","FAMILIES!!Families!!Male householder, no spouse present","FAMILIES!!Families!!Male householder, no spouse present!!With own children under 18 years","FAMILY INCOME BY FAMILY SIZE","FAMILY INCOME BY FAMILY SIZE!!2-person families","FAMILY INCOME BY FAMILY SIZE!!3-person families","FAMILY INCOME BY FAMILY SIZE!!4-person families","FAMILY INCOME BY FAMILY SIZE!!5-person families","FAMILY INCOME BY FAMILY SIZE!!6-person families","FAMILY INCOME BY FAMILY SIZE!!7-or-more person families","FAMILY INCOME BY NUMBER OF EARNERS","FAMILY INCOME BY NUMBER OF EARNERS!!No earners","FAMILY INCOME BY NUMBER OF EARNERS!!1 earner","FAMILY INCOME BY NUMBER OF EARNERS!!2 earners","FAMILY INCOME BY NUMBER OF EARNERS!!3 or more earners","NONFAMILY HOUSEHOLDS","NONFAMILY HOUSEHOLDS!!Nonfamily households","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone"
"        Estimate","","75,197","","80,438","-","-","-","-","-","-","43,929","85,441","","30,938","56,719","81,625","-","","77,054","75,000","77,396","82,875","80,500","30,268","31,071","-","-","","44,688","108,393","83,250","-","90,417","-","","77,969","44,125","86,000","140,000","","-","23,125","21,250","-","-","-","-"
"ZCTA5 95324","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,811","","2,181","0","18","0","0","533","79","643","2,086","","33","1,027","969","782","","2,070","922","1,148","1,575","652","296","195","199","75","","820","273","490","347","42","98","","297","798","689","286","","741","346","274","72","395","290","105"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,811","","77.6%","0.0%","0.6%","0.0%","0.0%","19.0%","2.8%","22.9%","74.2%","","1.2%","36.5%","34.5%","27.8%","","2,070","44.5%","55.5%","76.1%","31.5%","14.3%","9.4%","9.6%","3.6%","","39.6%","13.2%","23.7%","16.8%","2.0%","4.7%","","14.3%","38.6%","33.3%","13.8%","","741","46.7%","37.0%","9.7%","53.3%","39.1%","14.2%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","70,045","","71,235","-","-","-","-","47,461","-","57,027","71,458","","-","75,988","87,861","35,000","","63,986","61,845","76,375","70,685","62,635","56,600","56,925","71,815","-","","45,328","-","82,000","59,968","-","-","","27,348","56,616","82,172","138,774","","40,852","32,125","28,841","-","-","-","211,838"
"ZCTA5 95325","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","33","","33","0","0","0","0","0","0","0","33","","0","0","33","0","","33","0","33","33","0","0","0","0","0","","33","0","0","0","0","0","","0","33","0","0","","0","0","0","0","0","0","0"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","33","","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","100.0%","","0.0%","0.0%","100.0%","0.0%","","33","0.0%","100.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","","0.0%","100.0%","0.0%","0.0%","","0","-","-","-","-","-","-"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","-","","-","-","-","-","-","-","-","-","-","","-","-","-","-","","-","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","","-","-","-","-","","-","-","-","-","-","-","-"
"ZCTA5 95326","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","3,875","","3,451","33","30","136","0","179","46","651","2,979","","170","1,361","1,137","1,207","","2,744","1,279","1,465","1,779","732","486","265","479","282","","1,272","452","468","443","84","25","","434","877","1,057","376","","1,131","569","474","95","562","367","195"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","3,875","","89.1%","0.9%","0.8%","3.5%","0.0%","4.6%","1.2%","16.8%","76.9%","","4.4%","35.1%","29.3%","31.1%","","2,744","46.6%","53.4%","64.8%","26.7%","17.7%","9.7%","17.5%","10.3%","","46.4%","16.5%","17.1%","16.1%","3.1%","0.9%","","15.8%","32.0%","38.5%","13.7%","","1,131","50.3%","41.9%","8.4%","49.7%","32.4%","17.2%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","75,388","","76,911","-","-","152,200","-","-","-","71,526","76,108","","72,471","76,796","96,458","39,185","","76,864","72,325","80,865","97,341","120,203","53,235","51,717","-","41,687","","65,815","86,210","96,809","76,599","250,000+","-","","50,395","42,482","107,083","101,216","","70,545","-","36,111","112,879","75,446","70,417","115,179"
"ZCTA5 95327","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,675","","2,512","0","75","13","0","19","56","268","2,307","","16","793","856","1,010","","1,359","460","899","993","271","321","144","45","45","","709","340","185","82","34","9","","393","410","341","215","","1,316","663","577","86","653","491","162"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,675","","93.9%","0.0%","2.8%","0.5%","0.0%","0.7%","2.1%","10.0%","86.2%","","0.6%","29.6%","32.0%","37.8%","","1,359","33.8%","66.2%","73.1%","19.9%","23.6%","10.6%","3.3%","3.3%","","52.2%","25.0%","13.6%","6.0%","2.5%","0.7%","","28.9%","30.2%","25.1%","15.8%","","1,316","50.4%","43.8%","6.5%","49.6%","37.3%","12.3%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","43,313","","46,146","-","-","-","-","-","27,794","-","46,163","","-","40,208","59,000","42,500","","70,246","70,938","68,603","81,875","95,428","-","-","-","-","","57,634","81,932","96,875","77,794","70,476","-","","-","56,875","96,815","95,684","","22,681","19,788","18,135","99,032","-","-","37,134"
"ZCTA5 95328","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,103","","764","0","28","8","0","163","140","657","391","","28","559","281","235","","916","654","262","710","495","168","131","38","28","","207","254","146","72","209","28","","124","280","368","144","","187","135","135","0","52","52","0"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,103","","69.3%","0.0%","2.5%","0.7%","0.0%","14.8%","12.7%","59.6%","35.4%","","2.5%","50.7%","25.5%","21.3%","","916","71.4%","28.6%","77.5%","54.0%","18.3%","14.3%","4.1%","3.1%","","22.6%","27.7%","15.9%","7.9%","22.8%","3.1%","","13.5%","30.6%","40.2%","15.7%","","187","72.2%","72.2%","0.0%","27.8%","27.8%","0.0%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","46,277","","50,746","-","-","-","-","45,602","-","52,342","19,125","","-","45,457","87,813","14,636","","50,880","48,594","-","53,684","52,708","18,963","18,872","-","-","","47,269","50,000","-","-","-","-","","17,622","50,867","65,870","115,585","","13,877","14,130","14,130","-","11,912","11,912","-"
"ZCTA5 95329","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,109","","922","31","9","0","21","38","88","219","765","","36","130","567","376","","693","170","523","591","114","43","31","59","25","","498","80","55","26","30","4","","187","284","196","26","","416","137","114","23","279","191","88"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,109","","83.1%","2.8%","0.8%","0.0%","1.9%","3.4%","7.9%","19.7%","69.0%","","3.2%","11.7%","51.1%","33.9%","","693","24.5%","75.5%","85.3%","16.5%","6.2%","4.5%","8.5%","3.6%","","71.9%","11.5%","7.9%","3.8%","4.3%","0.6%","","27.0%","41.0%","28.3%","3.8%","","416","32.9%","27.4%","5.5%","67.1%","45.9%","21.2%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","57,058","","62,917","-","-","-","-","68,750","34,069","54,327","73,102","","-","82,391","73,150","47,794","","83,472","80,326","93,583","95,417","95,682","55,927","-","69,712","-","","73,906","82,250","94,583","-","-","-","","46,893","96,250","98,929","118,750","","27,125","17,569","-","-","33,210","34,347","-"
"ZCTA5 95330","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","5,904","","2,860","292","60","1,515","39","623","515","2,029","1,746","","25","2,359","2,550","970","","5,104","2,520","2,584","3,850","2,056","710","256","544","208","","1,252","911","1,464","726","381","370","","430","1,815","1,747","1,112","","800","447","364","83","353","252","101"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","5,904","","48.4%","4.9%","1.0%","25.7%","0.7%","10.6%","8.7%","34.4%","29.6%","","0.4%","40.0%","43.2%","16.4%","","5,104","49.4%","50.6%","75.4%","40.3%","13.9%","5.0%","10.7%","4.1%","","24.5%","17.8%","28.7%","14.2%","7.5%","7.2%","","8.4%","35.6%","34.2%","21.8%","","800","55.9%","45.5%","10.4%","44.1%","31.5%","12.6%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","89,653","","82,167","92,672","150,313","117,542","100,284","85,439","87,625","82,852","86,983","","-","104,181","101,771","45,972","","91,473","93,542","87,616","107,936","108,186","51,221","39,583","69,000","69,231","","62,143","97,721","85,573","125,063","123,189","123,690","","30,159","68,165","108,995","134,026","","47,500","27,361","22,917","93,438","66,140","64,265","-"
"ZCTA5 95333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","771","","418","3","6","26","0","240","78","459","259","","7","230","347","187","","622","237","385","477","176","85","26","60","35","","211","168","90","54","45","54","","107","191","233","91","","149","61","57","4","88","79","9"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","771","","54.2%","0.4%","0.8%","3.4%","0.0%","31.1%","10.1%","59.5%","33.6%","","0.9%","29.8%","45.0%","24.3%","","622","38.1%","61.9%","76.7%","28.3%","13.7%","4.2%","9.6%","5.6%","","33.9%","27.0%","14.5%","8.7%","7.2%","8.7%","","17.2%","30.7%","37.5%","14.6%","","149","40.9%","38.3%","2.7%","59.1%","53.0%","6.0%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","53,125","","61,875","-","-","-","-","44,911","-","49,010","72,917","","-","48,750","60,208","48,906","","59,886","44,671","68,068","66,607","48,438","-","-","38,750","-","","49,464","41,810","73,750","71,667","51,125","130,813","","-","41,250","81,417","82,404","","-","-","-","-","-","-","-"
"ZCTA5 95334","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","4,306","","1,697","19","56","605","0","1,754","175","2,634","966","","52","1,617","1,850","787","","3,496","1,741","1,755","2,322","1,216","829","470","345","55","","714","553","761","863","300","305","","195","1,079","1,277","945","","810","418","371","47","392","287","105"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","4,306","","39.4%","0.4%","1.3%","14.1%","0.0%","40.7%","4.1%","61.2%","22.4%","","1.2%","37.6%","43.0%","18.3%","","3,496","49.8%","50.2%","66.4%","34.8%","23.7%","13.4%","9.9%","1.6%","","20.4%","15.8%","21.8%","24.7%","8.6%","8.7%","","5.6%","30.9%","36.5%","27.0%","","810","51.6%","45.8%","5.8%","48.4%","35.4%","13.0%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","59,412","","56,076","-","-","77,264","-","64,138","77,679","56,541","68,190","","-","54,583","69,556","43,675","","65,495","48,488","83,015","75,194","66,071","42,083","34,750","67,039","48,958","","58,767","58,558","49,089","81,307","57,500","68,170","","28,606","39,438","69,183","100,264","","32,026","26,027","25,223","128,042","45,593","41,354","45,826"
"ZCTA5 95335","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","69","","38","0","0","31","0","0","0","0","38","","0","0","31","38","","31","0","31","31","0","0","0","0","0","","31","0","0","0","0","0","","0","31","0","0","","38","0","0","0","38","38","0"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","69","","55.1%","0.0%","0.0%","44.9%","0.0%","0.0%","0.0%","0.0%","55.1%","","0.0%","0.0%","44.9%","55.1%","","31","0.0%","100.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","","0.0%","100.0%","0.0%","0.0%","","38","0.0%","0.0%","0.0%","100.0%","100.0%","0.0%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","-","","-","-","-","-","-","-","-","-","-","","-","-","-","-","","-","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","","-","-","-","-","","-","-","-","-","-","-","-"
"ZCTA5 95336","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","15,490","","11,516","506","143","963","140","1,235","987","4,655","8,802","","376","4,277","6,107","4,730","","11,387","4,332","7,055","8,155","2,809","2,180","1,029","1,052","494","","4,522","2,525","1,930","1,492","394","524","","1,843","4,257","3,559","1,728","","4,103","2,409","1,926","483","1,694","990","704"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","15,490","","74.3%","3.3%","0.9%","6.2%","0.9%","8.0%","6.4%","30.1%","56.8%","","2.4%","27.6%","39.4%","30.5%","","11,387","38.0%","62.0%","71.6%","24.7%","19.1%","9.0%","9.2%","4.3%","","39.7%","22.2%","16.9%","13.1%","3.5%","4.6%","","16.2%","37.4%","31.3%","15.2%","","4,103","58.7%","46.9%","11.8%","41.3%","24.1%","17.2%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","70,084","","71,883","82,024","54,712","63,817","-","67,225","53,542","64,183","75,705","","64,205","75,353","86,046","48,290","","77,039","64,820","84,657","87,730","78,594","52,319","47,321","62,596","48,092","","73,469","77,121","89,936","67,500","67,424","-","","46,662","57,977","98,925","133,882","","45,987","38,125","29,286","82,944","55,476","46,569","92,593"
"ZCTA5 95337","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","12,304","","8,059","682","96","1,649","146","662","1,010","3,599","5,729","","265","4,627","5,159","2,253","","9,569","4,675","4,894","7,243","3,349","1,450","819","876","507","","3,103","2,086","2,042","1,298","548","492","","1,104","3,115","3,628","1,722","","2,735","1,537","1,328","209","1,198","806","392"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","12,304","","65.5%","5.5%","0.8%","13.4%","1.2%","5.4%","8.2%","29.3%","46.6%","","2.2%","37.6%","41.9%","18.3%","","9,569","48.9%","51.1%","75.7%","35.0%","15.2%","8.6%","9.2%","5.3%","","32.4%","21.8%","21.3%","13.6%","5.7%","5.1%","","11.5%","32.6%","37.9%","18.0%","","2,735","56.2%","48.6%","7.6%","43.8%","29.5%","14.3%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","86,414","","86,002","49,904","101,875","106,295","186,454","97,333","75,000","72,288","94,451","","-","102,788","93,380","52,601","","93,419","88,438","98,571","114,984","117,446","40,185","29,505","54,555","54,769","","79,552","89,133","105,294","118,894","140,139","186,071","","25,377","65,566","122,117","147,651","","49,283","35,551","33,164","107,604","62,339","53,785","100,938"
"ZCTA5 95338","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","4,781","","4,274","10","80","57","0","117","243","337","4,078","","90","1,018","1,768","1,905","","3,229","1,083","2,146","2,384","598","575","350","270","135","","1,656","555","596","333","54","35","","818","1,428","810","173","","1,552","810","705","105","742","545","197"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","4,781","","89.4%","0.2%","1.7%","1.2%","0.0%","2.4%","5.1%","7.0%","85.3%","","1.9%","21.3%","37.0%","39.8%","","3,229","33.5%","66.5%","73.8%","18.5%","17.8%","10.8%","8.4%","4.2%","","51.3%","17.2%","18.5%","10.3%","1.7%","1.1%","","25.3%","44.2%","25.1%","5.4%","","1,552","52.2%","45.4%","6.8%","47.8%","35.1%","12.7%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","52,280","","52,436","-","-","-","-","34,523","66,250","52,031","52,793","","23,641","52,228","57,228","51,859","","62,528","51,954","64,483","73,000","80,208","45,670","27,038","47,016","-","","55,431","69,493","67,500","-","-","-","","53,158","51,402","85,588","250,000+","","27,206","27,647","26,282","107,361","26,000","21,813","-"
"ZCTA5 95340","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","12,120","","8,547","480","109","602","23","1,698","661","4,717","6,041","","491","4,006","4,528","3,095","","8,142","3,663","4,479","5,289","1,957","2,037","1,234","816","472","","3,617","1,706","1,611","746","263","199","","1,391","3,072","2,887","792","","3,978","2,275","1,894","381","1,703","1,339","364"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","12,120","","70.5%","4.0%","0.9%","5.0%","0.2%","14.0%","5.5%","38.9%","49.8%","","4.1%","33.1%","37.4%","25.5%","","8,142","45.0%","55.0%","65.0%","24.0%","25.0%","15.2%","10.0%","5.8%","","44.4%","21.0%","19.8%","9.2%","3.2%","2.4%","","17.1%","37.7%","35.5%","9.7%","","3,978","57.2%","47.6%","9.6%","42.8%","33.7%","9.2%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","56,941","","61,001","44,000","20,982","65,357","-","45,756","68,207","46,390","71,274","","21,890","53,871","64,767","60,323","","68,995","53,065","73,546","91,481","86,577","25,536","12,297","58,368","57,667","","69,938","53,182","76,647","80,625","71,385","66,492","","52,521","51,066","81,378","113,537","","31,734","28,966","27,557","36,858","41,161","39,850","50,104"
"ZCTA5 95341","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","9,005","","4,499","391","29","834","0","2,856","396","5,730","1,913","","346","4,386","2,668","1,605","","7,562","4,445","3,117","4,385","2,309","1,996","1,590","1,181","546","","2,357","1,212","1,559","1,506","491","437","","1,155","3,061","2,357","989","","1,443","669","552","117","774","574","200"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","9,005","","50.0%","4.3%","0.3%","9.3%","0.0%","31.7%","4.4%","63.6%","21.2%","","3.8%","48.7%","29.6%","17.8%","","7,562","58.8%","41.2%","58.0%","30.5%","26.4%","21.0%","15.6%","7.2%","","31.2%","16.0%","20.6%","19.9%","6.5%","5.8%","","15.3%","40.5%","31.2%","13.1%","","1,443","46.4%","38.3%","8.1%","53.6%","39.8%","13.9%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","46,547","","47,366","25,559","-","75,417","-","43,375","45,571","41,618","63,264","","25,565","41,803","57,798","44,560","","47,750","40,007","60,472","67,410","60,089","20,842","17,652","37,340","35,676","","44,265","36,912","46,712","56,630","55,709","79,306","","14,121","34,471","70,277","93,478","","27,269","15,602","12,287","-","35,286","30,071","67,125"
"ZCTA5 95345","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","426","","359","67","0","0","0","0","0","34","325","","0","84","153","189","","212","114","98","102","47","110","67","0","0","","110","76","13","13","0","0","","102","20","77","13","","214","156","150","6","58","58","0"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","426","","84.3%","15.7%","0.0%","0.0%","0.0%","0.0%","0.0%","8.0%","76.3%","","0.0%","19.7%","35.9%","44.4%","","212","53.8%","46.2%","48.1%","22.2%","51.9%","31.6%","0.0%","0.0%","","51.9%","35.8%","6.1%","6.1%","0.0%","0.0%","","48.1%","9.4%","36.3%","6.1%","","214","72.9%","70.1%","2.8%","27.1%","27.1%","0.0%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","33,889","","54,219","-","-","-","-","-","-","-","55,980","","-","-","11,181","58,201","","-","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","","-","-","57,875","-","","-","-","-","-","26,875","26,875","-"
"ZCTA5 95346","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","529","","513","0","0","16","0","0","0","0","513","","0","27","301","201","","312","38","274","301","27","0","0","11","11","","221","24","67","0","0","0","","64","111","97","40","","217","133","16","117","84","62","22"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","529","","97.0%","0.0%","0.0%","3.0%","0.0%","0.0%","0.0%","0.0%","97.0%","","0.0%","5.1%","56.9%","38.0%","","312","12.2%","87.8%","96.5%","8.7%","0.0%","0.0%","3.5%","3.5%","","70.8%","7.7%","21.5%","0.0%","0.0%","0.0%","","20.5%","35.6%","31.1%","12.8%","","217","61.3%","7.4%","53.9%","38.7%","28.6%","10.1%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","77,557","","78,466","-","-","-","-","-","-","-","78,466","","-","-","-","112,827","","116,500","-","117,133","116,683","-","-","-","-","-","","116,683","-","148,355","-","-","-","","117,162","66,898","128,813","-","","55,814","54,922","-","-","96,250","-","-"
"ZCTA5 95348","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
